tic,time,open,high,low,close,volume,day
600243.SH,2022-06-01,4.58,4.72,4.53,4.57,155768.0,2
603825.SH,2022-06-01,16.09,16.7,15.98,16.24,129139.48,2
688365.SH,2022-06-01,8.82,9.28,8.72,9.18,36870.16,2
002193.SZ,2022-06-02,5.86,5.99,5.83,5.94,38367.0,3
002633.SZ,2022-06-02,8.82,8.85,8.64,8.79,18394.01,3
600243.SH,2022-06-02,4.62,4.65,4.52,4.54,133659.0,3
603825.SH,2022-06-02,16.14,16.14,15.79,16.01,80934.61,3
688365.SH,2022-06-02,9.08,10.66,8.94,10.24,95330.77,3
002193.SZ,2022-06-06,5.95,6.14,5.91,6.12,48959.0,0
002633.SZ,2022-06-06,8.8,9.42,8.71,9.14,45888.01,0
600243.SH,2022-06-06,4.53,4.7,4.51,4.63,170394.11,0
603825.SH,2022-06-06,16.05,16.45,15.89,16.35,79171.44,0
688365.SH,2022-06-06,10.09,10.75,10.0,10.56,90045.52,0
002193.SZ,2022-06-07,6.06,6.25,5.93,6.01,37305.1,1
002633.SZ,2022-06-07,9.14,9.3,8.88,8.93,26602.0,1
600243.SH,2022-06-07,4.62,4.64,4.3,4.34,301559.0,1
603825.SH,2022-06-07,16.36,17.13,16.18,16.7,131075.59,1
688365.SH,2022-06-07,10.32,10.59,10.07,10.19,42329.92,1
002193.SZ,2022-06-08,6.0,6.05,5.6,5.91,39935.01,2
002633.SZ,2022-06-08,8.85,8.94,8.56,8.7,29739.0,2
600243.SH,2022-06-08,4.3,4.37,4.22,4.35,173442.0,2
603825.SH,2022-06-08,16.7,17.34,16.55,17.3,151305.47,2
688365.SH,2022-06-08,10.01,10.41,9.8,10.01,33838.3,2
002193.SZ,2022-06-09,5.9,5.91,5.75,5.79,20008.0,3
002633.SZ,2022-06-09,8.76,8.83,8.55,8.63,16226.0,3
600243.SH,2022-06-09,4.33,4.33,4.17,4.2,134766.17,3
603825.SH,2022-06-09,17.27,17.28,16.68,16.81,107885.48,3
688365.SH,2022-06-09,10.06,10.06,9.5,9.58,30317.3,3
002193.SZ,2022-06-10,5.75,5.85,5.71,5.83,15305.0,4
002633.SZ,2022-06-10,8.58,8.88,8.58,8.8,20551.0,4
600243.SH,2022-06-10,4.18,4.27,4.15,4.24,100359.01,4
603825.SH,2022-06-10,16.6,18.33,16.46,17.93,167653.55,4
688365.SH,2022-06-10,9.48,9.74,9.43,9.54,33503.07,4
002193.SZ,2022-06-13,5.76,5.86,5.68,5.79,21716.0,0
002633.SZ,2022-06-13,8.81,9.07,8.71,9.0,27565.0,0
600243.SH,2022-06-13,4.23,4.34,4.19,4.26,119963.0,0
603825.SH,2022-06-13,18.07,19.72,17.99,19.72,267482.8,0
688365.SH,2022-06-13,9.48,9.7,9.4,9.66,18151.45,0
002193.SZ,2022-06-14,5.79,5.83,5.59,5.82,26274.99,1
002633.SZ,2022-06-14,8.98,9.03,8.65,8.9,20209.0,1
600243.SH,2022-06-14,4.23,4.28,4.13,4.28,133894.0,1
603825.SH,2022-06-14,19.13,19.5,18.85,19.35,154436.84,1
688365.SH,2022-06-14,9.65,9.65,9.05,9.33,30007.52,1
002193.SZ,2022-06-15,5.82,5.94,5.77,5.84,29537.67,2
002633.SZ,2022-06-15,8.91,9.28,8.88,8.88,22125.0,2
600243.SH,2022-06-15,4.29,4.33,4.25,4.28,129304.0,2
603825.SH,2022-06-15,19.32,20.15,18.92,19.95,164465.73,2
688365.SH,2022-06-15,9.41,9.63,9.3,9.43,28934.41,2
002193.SZ,2022-06-16,5.81,5.89,5.78,5.83,21795.0,3
002633.SZ,2022-06-16,8.93,9.0,8.76,8.82,20772.0,3
600243.SH,2022-06-16,4.27,4.38,4.25,4.31,119735.0,3
603825.SH,2022-06-16,19.98,21.95,19.55,20.99,219760.9,3
688365.SH,2022-06-16,9.4,9.75,9.4,9.66,28904.97,3
002193.SZ,2022-06-17,5.82,5.83,5.6,5.65,44829.0,4
002633.SZ,2022-06-17,8.75,8.76,8.51,8.72,16980.0,4
600243.SH,2022-06-17,4.3,4.31,4.19,4.23,115386.19,4
603825.SH,2022-06-17,20.61,21.19,20.02,20.7,140637.92,4
688365.SH,2022-06-17,9.57,9.66,9.26,9.54,20230.04,4
002193.SZ,2022-06-20,5.65,5.72,5.62,5.7,20126.22,0
002633.SZ,2022-06-20,8.79,9.09,8.7,9.01,25224.0,0
600243.SH,2022-06-20,4.2,4.39,4.2,4.32,132727.78,0
603825.SH,2022-06-20,20.62,20.86,20.08,20.08,98535.0,0
688365.SH,2022-06-20,9.45,9.68,9.4,9.5,16674.6,0
002193.SZ,2022-06-21,5.75,5.78,5.61,5.67,19566.39,1
002633.SZ,2022-06-21,9.02,9.31,8.89,9.3,42214.0,1
600243.SH,2022-06-21,4.31,4.47,4.29,4.37,163088.0,1
603825.SH,2022-06-21,20.07,20.79,19.68,20.11,113780.05,1
688365.SH,2022-06-21,9.49,9.95,9.49,9.78,35528.33,1
002193.SZ,2022-06-22,5.65,5.72,5.6,5.63,20900.0,2
002633.SZ,2022-06-22,9.2,9.35,8.95,9.13,27742.0,2
600243.SH,2022-06-22,4.33,4.37,4.22,4.23,104495.0,2
603825.SH,2022-06-22,20.11,20.31,19.0,19.21,98124.95,2
688365.SH,2022-06-22,9.8,9.83,9.23,9.23,30428.96,2
002193.SZ,2022-06-23,5.62,5.71,5.6,5.66,14394.1,3
002633.SZ,2022-06-23,9.08,9.33,9.05,9.33,22077.0,3
600243.SH,2022-06-23,4.23,4.29,4.19,4.29,92820.0,3
603825.SH,2022-06-23,19.3,19.46,17.29,17.9,249754.55,3
688365.SH,2022-06-23,9.21,9.49,9.19,9.41,20936.12,3
002193.SZ,2022-06-24,5.66,5.83,5.66,5.8,25040.0,4
002633.SZ,2022-06-24,9.33,9.56,9.26,9.42,27175.0,4
600243.SH,2022-06-24,4.29,4.4,4.26,4.34,127363.0,4
603825.SH,2022-06-24,17.7,18.36,17.5,17.58,144940.38,4
688365.SH,2022-06-24,9.49,9.69,9.43,9.54,19773.61,4
002193.SZ,2022-06-27,5.83,5.85,5.75,5.83,23329.23,0
002633.SZ,2022-06-27,9.42,9.83,9.14,9.19,63119.92,0
600243.SH,2022-06-27,4.49,4.55,4.34,4.5,271512.0,0
603825.SH,2022-06-27,17.63,17.89,17.44,17.54,81037.8,0
688365.SH,2022-06-27,9.58,9.6,9.34,9.37,16029.79,0
002193.SZ,2022-06-28,5.85,6.11,5.79,6.05,50729.0,1
002633.SZ,2022-06-28,9.21,9.44,9.13,9.35,29369.5,1
600243.SH,2022-06-28,4.53,4.68,4.51,4.57,300096.0,1
603825.SH,2022-06-28,17.54,17.69,17.07,17.62,71644.63,1
688365.SH,2022-06-28,9.36,9.75,9.21,9.58,25234.62,1
002193.SZ,2022-06-29,6.02,6.15,5.86,5.87,37256.01,2
002633.SZ,2022-06-29,9.36,9.45,9.13,9.14,23591.0,2
600243.SH,2022-06-29,4.56,4.57,4.35,4.35,212163.0,2
603825.SH,2022-06-29,17.62,17.81,17.08,17.1,79845.45,2
688365.SH,2022-06-29,9.49,9.7,9.3,9.32,24624.57,2
002193.SZ,2022-06-30,5.88,6.07,5.81,5.95,54309.36,3
002633.SZ,2022-06-30,9.13,9.28,9.03,9.03,20664.0,3
600243.SH,2022-06-30,4.34,4.4,4.3,4.33,148797.0,3
603825.SH,2022-06-30,17.1,17.38,16.94,17.23,62691.0,3
688365.SH,2022-06-30,9.32,9.45,9.23,9.3,16404.0,3
002193.SZ,2022-07-01,5.91,6.06,5.83,6.03,49908.28,4
002633.SZ,2022-07-01,9.1,9.42,9.01,9.2,17352.0,4
600243.SH,2022-07-01,4.28,4.38,4.28,4.37,103693.0,4
